曜日,日付,収集区域1,収集区域2,収集区域3,収集区域4,収集区域5,収集区域6,収集区域7,収集区域8,収集区域9,収集区域10,収集区域11,収集区域12,収集区域13,収集区域14,収集区域15,収集区域16,収集区域21,収集区域22,収集区域23,収集区域24,収集区域25,収集区域26,収集区域27,収集区域28,収集区域29,収集区域30,収集区域31,収集区域32,収集区域41,収集区域42,収集区域44,収集区域45,収集区域46,収集区域48,収集区域49,収集区域50,収集区域51
金,2026/8/21,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/8/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/8/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/8/24,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/8/25,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/8/26,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/8/27,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/8/28,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/8/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/8/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/8/31,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2026/9/1,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2026/9/2,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2026/9/3,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2026/9/4,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2026/9/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/9/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/9/7,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/9/8,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/9/9,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/9/10,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/9/11,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/9/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/9/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/9/14,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2026/9/15,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2026/9/16,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2026/9/17,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2026/9/18,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/9/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/9/21,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/9/22,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/9/23,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/9/24,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/9/25,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/9/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/9/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/9/28,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2026/9/29,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2026/9/30,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2026/10/1,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2026/10/2,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2026/10/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/10/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/10/5,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
