曜日,日付,収集区域1,収集区域2,収集区域3,収集区域4,収集区域5,収集区域6,収集区域7,収集区域8,収集区域9,収集区域10,収集区域11,収集区域12,収集区域13,収集区域14,収集区域15,収集区域16,収集区域21,収集区域22,収集区域23,収集区域24,収集区域25,収集区域26,収集区域27,収集区域28,収集区域29,収集区域30,収集区域31,収集区域32,収集区域41,収集区域42,収集区域44,収集区域45,収集区域46,収集区域48,収集区域49,収集区域50,収集区域51
水,2027/1/20,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2027/1/21,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2027/1/22,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2027/1/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/1/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/1/25,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2027/1/26,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2027/1/27,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2027/1/28,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2027/1/29,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2027/1/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/1/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/2/1,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2027/2/2,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2027/2/3,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2027/2/4,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2027/2/5,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2027/2/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/2/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/2/8,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2027/2/9,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2027/2/10,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2027/2/11,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2027/2/12,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2027/2/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/2/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/2/15,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2027/2/16,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2027/2/17,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2027/2/18,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2027/2/19,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2027/2/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/2/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/2/22,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2027/2/23,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2027/2/24,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2027/2/25,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2027/2/26,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2027/2/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/2/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/3/1,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2027/3/2,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2027/3/3,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2027/3/4,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2027/3/5,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2027/3/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/3/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/3/8,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2027/3/9,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2027/3/10,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2027/3/11,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2027/3/12,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2027/3/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/3/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/3/15,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2027/3/16,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2027/3/17,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2027/3/18,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2027/3/19,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2027/3/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/3/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/3/22,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2027/3/23,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2027/3/24,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2027/3/25,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2027/3/26,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2027/3/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2027/3/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2027/3/29,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2027/3/30,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2027/3/31,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
